ID,Scheme,Source,Language,Comment,Sentiment
1,Fasal Bima,News App,en,The benefits of Fasal Bima arrived quickly and without any major hassle.,Positive
2,AMRUT,Twitter,hi,"AMRUT का लाभ हमारे परिवार को सही में मिला, बहुत फायदा हुआ।",Positive
3,Sukanya Samriddhi,YouTube,en,"Wow what an incredible Sukanya Samriddhi initiative, I am sure THIS time it will work.",Sarcasm
4,PM Kisan,Instagram,en,PM Kisan gave us access to services we could never afford before.,Positive
5,Stand Up India,Public Forum,en,Thoda aur time lagega Stand Up India ka full impact samajhne mein.,Neutral
6,Fasal Bima,Twitter,en,"Not sure how to access Fasal Bima benefits, lack of awareness is the issue.",Neutral
7,PM Garib Kalyan,News App,en,PM Garib Kalyan is one of the few government schemes that actually delivers on its promise.,Positive
8,Sagarmala,News App,en,My neighbor's life changed after enrolling in Sagarmala last year.,Positive
9,Sukanya Samriddhi,Twitter,en,The quality of Sukanya Samriddhi implementation here is genuinely commendable.,Positive
10,Bharatmala,YouTube,hi,"Bharatmala के मिश्रित नतीजे हैं, जगह-जगह अलग अनुभव है।",Neutral
11,Skill India,Public Forum,hi,Skill India ठीक है लेकिन अभी और सुधार की जरूरत है।,Neutral
12,Sagarmala,Twitter,hi,Sagarmala से हमें वह मिला जिसकी हमें सालों से जरूरत थी।,Positive
13,Jal Jeevan Mission,News App,en,"Amazing, three years and Jal Jeevan Mission still has zero impact in my area. Record!",Sarcasm
14,PM Jeevan Jyoti Bima,Public Forum,en,Thoda aur time lagega PM Jeevan Jyoti Bima ka full impact samajhne mein.,Neutral
15,FAME,YouTube,en,The benefits of FAME arrived quickly and without any major hassle.,Positive
16,Stand Up India,News App,en,Stand Up India is partially helpful in some areas but completely absent in others.,Neutral
17,Ayushman Bharat,Public Forum,en,"Ayushman Bharat ke baare mein suna hai, apply nahi kiya abhi tak.",Neutral
18,Stand Up India,Twitter,en,Great job on Stand Up India! Three years later and still nothing changed. Amazing! 🙄,Sarcasm
19,PMAY,Instagram,hi,PMAY के फायदे तीन महीने में ही मिलने शुरू हो गए।,Positive
20,Jan Dhan Yojana,Instagram,en,"Amazing, three years and Jan Dhan Yojana still has zero impact in my area. Record!",Sarcasm
21,AMRUT,News App,en,AMRUT ke baare mein alag alag log alag alag bol rahe hain.,Neutral
22,Kisan Credit Card,Twitter,hinglish,"Kisan Credit Card sirf bade shahar walon ko milti hai, gaon walon ko kuch nahi.",Negative
23,UPI,Twitter,en,The UPI numbers look good on paper but ground situation is complex.,Neutral
